waktu,rerata_skor
187,5
183,5
172,5
143,5
138,5
135,5
130,5
115,5
98,5
1,4.508403361344538
2,4.501367053998633
4,4.452115812917595
3,4.424489795918367
5,4.391701560715645
6,4.383521409800587
7,4.37885285446261
8,4.362157653274016
100,4.333333333333333
9,4.329672078955746
10,4.307732226258433
11,4.290316431566908
13,4.264059753954306
12,4.255379618351604
14,4.231047802993722
15,4.205429864253394
16,4.191489361702128
17,4.094633346988939
19,4.09366823652538
20,4.081081081081081
18,4.056514236410699
194,4
186,4
175,4
173,4
148,4
145,4
137,4
119,4
93,4
21,3.9949077021005728
22,3.859124087591241
24,3.7484909456740443
23,3.733153638814016
105,3.6666666666666665
25,3.534324942791762
168,3.5
26,3.4750692520775623
27,3.4352941176470586
28,3.1801948051948052
30,3.0808314087759814
29,3.0423892100192678
188,3
174,3
142,3
131,3
108,3
101,3
82,3
79,3
33,2.7348242811501597
31,2.702842377260982
32,2.6925207756232687
107,2.6666666666666665
68,2.6153846153846154
195,2.5
126,2.5
106,2.5
96,2.5
88,2.5
86,2.5
34,2.4833333333333334
35,2.370629370629371
83,2.3333333333333335
36,2.3137254901960786
74,2.25
72,2.2222222222222223
71,2.1818181818181817
69,2.1818181818181817
64,2.1818181818181817
40,2.1417910447761193
37,2.1414141414141414
66,2.1333333333333333
76,2.125
63,2.090909090909091
39,2.084848484848485
208,2
144,2
133,2
75,2
42,1.9928571428571429
41,1.962962962962963
44,1.9189189189189189
38,1.9137931034482758
43,1.9047619047619047
62,1.8333333333333333
45,1.8333333333333333
59,1.8148148148148149
81,1.8
52,1.8
54,1.794871794871795
,1.7612565445026178
84,1.75
61,1.75
56,1.7179487179487178
70,1.6842105263157894
48,1.6805555555555556
46,1.6696428571428572
58,1.6538461538461537
50,1.626865671641791
53,1.6216216216216217
51,1.5952380952380953
91,1.5
49,1.4915254237288136
60,1.4705882352941178
47,1.4342105263157894
55,1.3666666666666667
67,1.3
57,1.3
65,1.2857142857142858
196,1
191,1
190,1
181,1
166,1
165,1
139,1
132,1
125,1
117,1
110,1
104,1
103,1
97,1
94,1
90,1
87,1
85,1
80,1
78,1
77,1
73,1
210,
146,
102,
95,
